step,sim_time,env_id,prismz,prismx,RevoluteJoint,q1_left,q1_right,q2_left,q2_right
0,0.0,0,0.00073575,1.4922182e-10,-5.8083304e-19,9.323594e-19,1.148777e-19,3.056475e-23,-3.5750084e-21
0,0.0,1,0.00073575,1.4922182e-10,-6.0898055e-19,7.6555426e-19,1.4369975e-19,7.083141e-24,-2.8337227e-21
0,0.0,2,0.00073575,1.4922182e-10,-6.0898055e-19,7.6555426e-19,1.4369975e-19,7.083141e-24,-2.8337227e-21
0,0.0,3,0.00073575,1.4922182e-10,-6.0898055e-19,7.6555426e-19,1.4369975e-19,7.083141e-24,-2.8337227e-21
0,0.0,4,0.00073575,1.4922182e-10,2.0824118e-20,2.4679482e-19,-4.8533623e-19,1.0348592e-23,-9.848804e-22
0,0.0,5,0.00073575,1.4922182e-10,-3.9460134e-19,4.5893943e-21,-5.2740617e-19,9.920583e-25,-9.453021e-23
0,0.0,6,0.00073575,1.4922182e-10,-6.0898055e-19,7.6555426e-19,1.4369975e-19,7.083141e-24,-2.8337227e-21
0,0.0,7,0.00073575,1.4922182e-10,-6.0898055e-19,7.6555426e-19,1.4369975e-19,7.083141e-24,-2.8337227e-21
0,0.0,8,0.00073575,1.4922182e-10,-6.0898055e-19,7.6555426e-19,1.4369975e-19,7.083141e-24,-2.8337227e-21
0,0.0,9,0.00073575,1.4922182e-10,-5.8083304e-19,9.323594e-19,1.148777e-19,3.056475e-23,-3.5750084e-21
0,0.0,10,0.00073575,1.4922182e-10,-5.8083304e-19,9.323594e-19,1.148777e-19,3.056475e-23,-3.5750084e-21
0,0.0,11,0.00073575,1.4922182e-10,-6.0898055e-19,7.6555426e-19,1.4369975e-19,7.083141e-24,-2.8337227e-21
0,0.0,12,0.00073575,1.4922182e-10,-6.0898055e-19,7.6555426e-19,1.4369975e-19,7.083141e-24,-2.8337227e-21
0,0.0,13,0.00073575,1.4922182e-10,-6.0898055e-19,7.6555426e-19,1.4369975e-19,7.083141e-24,-2.8337227e-21
0,0.0,14,0.00073575,1.4922182e-10,2.0824118e-20,2.4679482e-19,-4.8533623e-19,1.0348592e-23,-9.848804e-22
0,0.0,15,0.00073575,1.4922182e-10,-3.9460134e-19,4.5893943e-21,-5.2740617e-19,9.920583e-25,-9.453021e-23
0,0.0,16,0.00073575,1.4922182e-10,-6.0898055e-19,7.6555426e-19,1.4369975e-19,7.083141e-24,-2.8337227e-21
0,0.0,17,0.00073575,1.4922182e-10,-6.0898055e-19,7.6555426e-19,1.4369975e-19,7.083141e-24,-2.8337227e-21
0,0.0,18,0.00073575,1.4922182e-10,-6.0898055e-19,7.6555426e-19,1.4369975e-19,7.083141e-24,-2.8337227e-21
0,0.0,19,0.00073575,1.4922182e-10,-5.8083304e-19,9.323594e-19,1.148777e-19,3.056475e-23,-3.5750084e-21
0,0.0,20,0.00073575,1.4922182e-10,-5.8083304e-19,9.323594e-19,1.148777e-19,3.056475e-23,-3.5750084e-21
0,0.0,21,0.00073575,1.4922182e-10,-6.0898055e-19,7.6555426e-19,1.4369975e-19,7.083141e-24,-2.8337227e-21
0,0.0,22,0.00073575,1.4922182e-10,-6.0898055e-19,7.6555426e-19,1.4369975e-19,7.083141e-24,-2.8337227e-21
0,0.0,23,0.00073575,1.4922182e-10,-6.0898055e-19,7.6555426e-19,1.4369975e-19,7.083141e-24,-2.8337227e-21
0,0.0,24,0.00073575,1.4922182e-10,2.0824118e-20,2.4679482e-19,-4.8533623e-19,1.0348592e-23,-9.848804e-22
0,0.0,25,0.00073575,1.4922182e-10,-3.9460134e-19,4.5893943e-21,-5.2740617e-19,9.920583e-25,-9.453021e-23
0,0.0,26,0.00073575,1.4922182e-10,-6.0898055e-19,7.6555426e-19,1.4369975e-19,7.083141e-24,-2.8337227e-21
0,0.0,27,0.00073575,1.4922182e-10,-6.0898055e-19,7.6555426e-19,1.4369975e-19,7.083141e-24,-2.8337227e-21
0,0.0,28,0.00073575,1.4922182e-10,-6.0898055e-19,7.6555426e-19,1.4369975e-19,7.083141e-24,-2.8337227e-21
0,0.0,29,0.00073575,1.4922182e-10,-5.8083304e-19,9.323594e-19,1.148777e-19,3.056475e-23,-3.5750084e-21
0,0.0,30,0.00073575,1.4922182e-10,-5.8083304e-19,9.323594e-19,1.148777e-19,3.056475e-23,-3.5750084e-21
0,0.0,31,0.00073575,1.4922182e-10,-6.0898055e-19,7.6555426e-19,1.4369975e-19,7.083141e-24,-2.8337227e-21
0,0.0,32,0.00073575,1.4922182e-10,-6.0898055e-19,7.6555426e-19,1.4369975e-19,7.083141e-24,-2.8337227e-21
0,0.0,33,0.00073575,1.4922182e-10,-6.0898055e-19,7.6555426e-19,1.4369975e-19,7.083141e-24,-2.8337227e-21
0,0.0,34,0.00073575,1.4922182e-10,2.0824118e-20,2.4679482e-19,-4.8533623e-19,1.0348592e-23,-9.848804e-22
0,0.0,35,0.00073575,1.4922182e-10,-3.9460134e-19,4.5893943e-21,-5.2740617e-19,9.920583e-25,-9.453021e-23
0,0.0,36,0.00073575,1.4922182e-10,-6.0898055e-19,7.6555426e-19,1.4369975e-19,7.083141e-24,-2.8337227e-21
0,0.0,37,0.00073575,1.4922182e-10,-6.0898055e-19,7.6555426e-19,1.4369975e-19,7.083141e-24,-2.8337227e-21
0,0.0,38,0.00073575,1.4922182e-10,-6.0898055e-19,7.6555426e-19,1.4369975e-19,7.083141e-24,-2.8337227e-21
0,0.0,39,0.00073575,1.4922182e-10,-5.8083304e-19,9.323594e-19,1.148777e-19,3.056475e-23,-3.5750084e-21
0,0.0,40,0.00073575,1.4922182e-10,-5.8083304e-19,9.323594e-19,1.148777e-19,3.056475e-23,-3.5750084e-21
0,0.0,41,0.00073575,1.4922182e-10,-6.0898055e-19,7.6555426e-19,1.4369975e-19,7.083141e-24,-2.8337227e-21
0,0.0,42,0.00073575,1.4922182e-10,-6.0898055e-19,7.6555426e-19,1.4369975e-19,7.083141e-24,-2.8337227e-21
0,0.0,43,0.00073575,1.4922182e-10,-6.0898055e-19,7.6555426e-19,1.4369975e-19,7.083141e-24,-2.8337227e-21
0,0.0,44,0.00073575,1.4922182e-10,2.0824118e-20,2.4679482e-19,-4.8533623e-19,1.0348592e-23,-9.848804e-22
0,0.0,45,0.00073575,1.4922182e-10,-3.9460134e-19,4.5893943e-21,-5.2740617e-19,9.920583e-25,-9.453021e-23
0,0.0,46,0.00073575,1.4922182e-10,-6.0898055e-19,7.6555426e-19,1.4369975e-19,7.083141e-24,-2.8337227e-21
0,0.0,47,0.00073575,1.4922182e-10,-6.0898055e-19,7.6555426e-19,1.4369975e-19,7.083141e-24,-2.8337227e-21
0,0.0,48,0.00073575,1.4922182e-10,-6.0898055e-19,7.6555426e-19,1.4369975e-19,7.083141e-24,-2.8337227e-21
0,0.0,49,0.00073575,1.4922182e-10,-5.8083304e-19,9.323594e-19,1.148777e-19,3.056475e-23,-3.5750084e-21
0,0.0,50,0.00073575,1.4922182e-10,-5.8083304e-19,9.323594e-19,1.148777e-19,3.056475e-23,-3.5750084e-21
0,0.0,51,0.00073575,1.4922182e-10,-6.0898055e-19,7.6555426e-19,1.4369975e-19,7.083141e-24,-2.8337227e-21
0,0.0,52,0.00073575,1.4922182e-10,-6.0898055e-19,7.6555426e-19,1.4369975e-19,7.083141e-24,-2.8337227e-21
0,0.0,53,0.00073575,1.4922182e-10,-6.0898055e-19,7.6555426e-19,1.4369975e-19,7.083141e-24,-2.8337227e-21
0,0.0,54,0.00073575,1.4922182e-10,2.0824118e-20,2.4679482e-19,-4.8533623e-19,1.0348592e-23,-9.848804e-22
0,0.0,55,0.00073575,1.4922182e-10,-3.9460134e-19,4.5893943e-21,-5.2740617e-19,9.920583e-25,-9.453021e-23
0,0.0,56,0.00073575,1.4922182e-10,-6.0898055e-19,7.6555426e-19,1.4369975e-19,7.083141e-24,-2.8337227e-21
0,0.0,57,0.00073575,1.4922182e-10,-6.0898055e-19,7.6555426e-19,1.4369975e-19,7.083141e-24,-2.8337227e-21
0,0.0,58,0.00073575,1.4922182e-10,-6.0898055e-19,7.6555426e-19,1.4369975e-19,7.083141e-24,-2.8337227e-21
0,0.0,59,0.00073575,1.4922182e-10,-5.8083304e-19,9.323594e-19,1.148777e-19,3.056475e-23,-3.5750084e-21
0,0.0,60,0.00073575,1.4922182e-10,-5.8083304e-19,9.323594e-19,1.148777e-19,3.056475e-23,-3.5750084e-21
0,0.0,61,0.00073575,1.4922182e-10,-6.0898055e-19,7.6555426e-19,1.4369975e-19,7.083141e-24,-2.8337227e-21
0,0.0,62,0.00073575,1.4922182e-10,-6.0898055e-19,7.6555426e-19,1.4369975e-19,7.083141e-24,-2.8337227e-21
0,0.0,63,0.00073575,1.4922182e-10,-6.0898055e-19,7.6555426e-19,1.4369975e-19,7.083141e-24,-2.8337227e-21
0,0.0,64,0.00073575,1.4922182e-10,2.0824118e-20,2.4679482e-19,-4.8533623e-19,1.0348592e-23,-9.848804e-22
