step,track_lin_vel_xy_exp,track_ang_vel_z_exp,lin_vel_z_l2,ang_vel_xy_l2,dof_torques_l2,dof_acc_l2,action_rate_l2,flat_orientation_l2,dof_pos_limits,termination_penalty,curr_vel,cmd_vel_given,track_lin_vel_xy,joint_angles,joint_symmetry_reward,stride_consistency,torso_orientation,phase_contact,phase_contact_per_cycle,alternation_contact,progressive_step,foot_cycle_sym,symmetric_foot_airtime,feet_no_slip_condition,com_step_reward,paper_cycle_reward,alive,rcs_phase_with_place
18,0.67505943775177,0.5,0.0,0.0,-3.332848072052002,-0.0005631512613035738,-0.4388468861579895,0.0,-0.37002846598625183,0.0,0.6758288741111755,0.929027795791626,0.0,-0.938142716884613,0.0,-2.9209349155426025,2.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.026241375133395195,0.0,13.147187232971191,0.15000000596046448,258.7731018066406
19,0.01628674939274788,0.5,0.0,0.0,-3.7527589797973633,-0.018103038892149925,-0.4774184823036194,0.0,-0.3746936321258545,0.0,0.45432233810424805,0.929027795791626,0.0,-0.8333441615104675,0.0,-6.37721061706543,2.0,0.0,0.0,4.0,0.0,0.0,0.0,-0.008299038745462894,0.0,13.14716625213623,0.15000000596046448,2.088590145111084
20,0.014372866600751877,0.5,0.0,0.0,-4.816307544708252,-0.0010670125484466553,-0.27469292283058167,0.0,-0.3749599754810333,0.0,0.12021414190530777,0.929027795791626,0.0,-0.7154414057731628,0.0,-6.37721061706543,2.0,0.0,0.0,4.0,0.0,0.0,0.0,-0.014055429957807064,0.0,27.338790893554688,0.15000000596046448,4.378189563751221
21,0.009849240072071552,0.5,0.0,0.0,-4.800474643707275,-0.00011780696513596922,-0.16052231192588806,0.0,-0.3750016987323761,0.0,-0.10971079021692276,0.929027795791626,0.0,-0.6029001474380493,0.0,-6.37721061706543,2.0,0.0,0.0,4.0,0.0,0.0,0.0,-0.018326375633478165,0.0,31.90545082092285,0.15000000596046448,5.228981018066406
22,0.007754378952085972,0.5,0.0,0.0,-4.800032615661621,-9.411597420694306e-05,-0.06303513050079346,0.0,-0.374988317489624,0.0,-0.14049352705478668,0.929027795791626,0.0,-0.5080084204673767,0.0,-6.37721061706543,2.0,0.0,0.0,4.0,0.0,0.0,0.0,-0.026734013110399246,0.0,33.62111282348633,0.15000000596046448,5.663062572479248
23,0.006865309085696936,0.5,0.0,0.0,-4.7292799949646,-0.0004776938585564494,-0.01876024156808853,0.0,-0.3749823272228241,0.0,-0.1690644472837448,0.929027795791626,0.0,-0.4262281060218811,0.0,-6.37721061706543,2.0,0.0,0.0,4.0,0.0,0.0,0.0,-0.027961626648902893,0.0,34.40550994873047,0.15000000596046448,5.995730876922607
24,0.005412228871136904,0.5,0.0,0.0,-4.024133205413818,-0.00044236553367227316,-0.012756191194057465,0.0,-0.3749847710132599,0.0,-0.19069162011146545,0.929027795791626,0.0,-0.3577462136745453,0.0,-6.37721061706543,2.0,0.0,0.0,4.0,0.0,0.0,0.0,-0.034557100385427475,0.0,34.815887451171875,0.15000000596046448,6.308537006378174
25,0.0065091438591480255,0.5,0.0,0.0,-3.3930962085723877,-9.510054223937914e-05,-0.00022791650553699583,0.0,-0.37495508790016174,0.0,-0.19922737777233124,0.929027795791626,0.0,-0.2951875627040863,0.0,-6.37721061706543,2.0,0.0,0.0,4.0,0.0,0.0,0.0,-0.08750520646572113,0.0,35.048702239990234,0.15000000596046448,6.670909404754639
26,0.006546724587678909,0.5,0.0,0.0,-3.204094886779785,-0.00016685140144545585,-0.01871846616268158,0.0,-0.3749619722366333,0.0,-0.19878265261650085,0.929027795791626,0.0,-0.23984359204769135,0.0,-6.37721061706543,0.0,0.0,0.0,4.0,0.0,0.0,0.0,-0.11118073016405106,0.0,35.18500518798828,0.15000000596046448,7.104136943817139
27,0.03238149732351303,0.5,0.0,0.0,-3.2054786682128906,-0.0013989376602694392,-0.0064621358178555965,0.0,-0.7180923819541931,0.0,-0.1338491439819336,0.929027795791626,0.0,-0.21875528991222382,0.0,-6.37721061706543,0.0,0.0,0.0,4.0,0.0,0.0,0.0,-0.13218310475349426,0.0,35.2618408203125,0.15000000596046448,7.626994609832764
28,0.04051567241549492,0.5,0.0,0.0,-3.208803653717041,-0.04950571432709694,-0.0005290444241836667,0.0,-0.7506820559501648,0.0,-0.04634331166744232,0.929027795791626,0.0,-0.21579571068286896,0.0,-6.37721061706543,0.0,0.0,0.0,4.0,0.0,0.0,0.0,-0.08947324752807617,0.0,35.29669952392578,0.15000000596046448,7.5652852058410645
29,0.05587382614612579,0.5,0.0,0.0,-3.2063181400299072,-1.5605715816491283e-05,-0.008190027438104153,0.0,-0.7501645088195801,0.0,0.03834299370646477,0.929027795791626,0.0,-0.1981135457754135,0.0,-6.37721061706543,0.0,0.0,0.0,4.0,0.0,0.0,0.0,-0.0049157533794641495,0.0,35.29669952392578,0.15000000596046448,7.467545032501221
30,0.04389721155166626,0.5,0.0,0.0,-3.208970546722412,-0.003597007133066654,-0.008170317858457565,0.0,-0.7473766803741455,0.0,0.05555630102753639,0.929027795791626,0.0,-0.17858676612377167,0.0,-6.37721061706543,0.0,0.0,0.0,4.0,0.0,0.0,0.0,-0.0038655707612633705,0.0,35.2618408203125,0.15000000596046448,7.371903419494629
31,0.04573846235871315,0.5,0.0,0.0,-3.2270703315734863,-8.841230737743899e-05,-0.023801488801836967,0.0,-0.7481063008308411,0.0,0.057204313576221466,0.929027795791626,0.0,-0.16149769723415375,0.0,-6.37721061706543,0.0,0.0,0.0,4.0,0.0,0.0,0.0,-0.0017880323575809598,0.0,35.18500518798828,0.15000000596046448,7.294956684112549
32,0.034134216606616974,0.5,0.0,0.0,-3.258967399597168,-0.00016565491387154907,-0.056823354214429855,0.0,-0.7471786141395569,0.0,0.036883700639009476,0.929027795791626,0.0,-0.1512981653213501,0.0,-6.37721061706543,0.0,0.0,0.0,4.0,0.0,0.0,0.0,-0.0009499614825472236,0.0,35.048702239990234,0.15000000596046448,7.2205328941345215
33,0.02822883240878582,0.5,0.0,0.0,-3.3118221759796143,-0.0002464307763148099,-0.11496970802545547,0.0,-0.7457301020622253,0.0,0.014702165499329567,0.929027795791626,0.0,-0.15075932443141937,0.0,-6.37721061706543,0.0,0.0,0.0,4.0,0.0,0.0,0.0,-0.0001588314480613917,0.0,34.815887451171875,0.15000000596046448,7.144467353820801
34,0.026864109560847282,0.5,0.0,0.0,-3.465200185775757,-0.0008174910326488316,-0.2968818247318268,0.0,-0.3680340051651001,0.0,-0.009666639380156994,0.929027795791626,0.0,-0.18108351528644562,0.0,-6.37721061706543,0.0,0.0,0.0,4.0,0.0,0.0,0.0,-0.0029736843425780535,0.0,34.40550994873047,0.15000000596046448,7.045122146606445
35,0.16759295761585236,0.5,0.0,0.0,-3.2085750102996826,-0.23795345425605774,-1.0407296419143677,0.0,-0.5395710468292236,0.0,0.06487339735031128,0.929027795791626,0.0,-0.14787472784519196,0.0,-6.37721061706543,0.0,0.0,0.0,4.0,0.0,0.0,0.0,-0.036450568586587906,0.0,33.62112045288086,0.15000000596046448,6.663498401641846
36,0.10490289330482483,0.5,0.0,0.0,-3.2316718101501465,-0.0019206154393032193,-0.5806536078453064,0.0,-0.3750140070915222,0.0,0.15121828019618988,0.929027795791626,0.0,-0.17226706445217133,0.0,-6.37721061706543,0.0,0.0,0.0,4.0,0.0,0.0,0.0,-0.19455857574939728,0.0,31.905454635620117,0.15000000596046448,5.86716365814209
37,0.20300841331481934,0.5,0.0,0.0,-3.2262678146362305,-0.0004983848193660378,-1.0367203950881958,0.0,-0.37487685680389404,0.0,0.2388284057378769,0.929027795791626,0.0,-0.22325056791305542,0.0,-6.37721061706543,0.0,0.0,0.0,4.0,0.0,0.0,0.0,-0.10465143620967865,0.0,27.338796615600586,0.15000000596046448,4.693575382232666
38,0.12933401763439178,0.5,0.0,0.0,-3.3330421447753906,-0.0015306001296266913,-0.8431558609008789,0.0,-0.37474361062049866,0.0,0.2367202639579773,0.929027795791626,0.0,-0.2723868787288666,0.0,-6.37721061706543,2.0,0.0,0.0,4.0,0.0,0.0,0.0,-0.03404371812939644,0.0,13.147197723388672,0.15000000596046448,2.152376890182495
39,0.0681375116109848,0.5,0.0,0.0,-3.40389347076416,-0.00247644423507154,-0.3409891128540039,0.0,-0.37470075488090515,0.0,0.20773936808109283,0.929027795791626,0.0,-0.29796725511550903,0.0,-6.37721061706543,2.0,0.0,0.0,4.0,0.0,0.0,0.0,-0.010344885289669037,0.0,-13.14715576171875,0.15000000596046448,-0.1389666050672531
40,0.015014290809631348,0.5,0.0,0.0,-3.203223943710327,-0.010092736221849918,-0.12655113637447357,0.0,-0.37483078241348267,0.0,0.07934664934873581,0.929027795791626,0.0,-0.35227301716804504,0.0,-5.073919296264648,2.0,0.0,0.0,4.0,0.0,0.0,0.0,-0.001102834939956665,0.0,27.338787078857422,0.15000000596046448,0.017631979659199715
41,0.050325848162174225,0.5,0.0,0.0,-3.2629642486572266,-0.00016386547940783203,-0.014955651015043259,0.0,-0.37148430943489075,0.0,0.014023762196302414,0.929027795791626,0.0,-0.4286491870880127,0.0,-5.073919296264648,2.0,0.0,0.0,4.0,0.0,0.0,0.0,-0.002017880091443658,0.0,31.90545082092285,0.15000000596046448,0.02005167119204998
42,0.02728821337223053,0.5,0.0,0.0,-3.242915153503418,-0.0002644559135660529,-0.05386112630367279,0.0,-0.3723051846027374,0.0,-0.008779652416706085,0.929027795791626,0.0,-0.5072221159934998,0.0,-5.073919296264648,2.0,0.0,0.0,4.0,0.0,0.0,0.0,-0.0007605621940456331,0.0,33.62111282348633,0.15000000596046448,0.02056911401450634
43,0.028570907190442085,0.5,0.0,0.0,-3.2089154720306396,-2.9908011129009537e-05,-0.025830887258052826,0.0,-0.37361499667167664,0.0,0.007309627719223499,0.929027795791626,0.0,-0.5949872136116028,0.0,-5.073919296264648,2.0,0.0,0.0,4.0,0.0,0.0,0.0,-0.0005558408447541296,0.0,34.40550994873047,0.15000000596046448,0.02063959464430809
44,0.023335028439760208,0.5,0.0,0.0,-3.206861734390259,-2.3342801796388812e-05,-0.07834631949663162,0.0,-0.3737713694572449,0.0,-0.023517850786447525,0.929027795791626,0.0,-0.6934286952018738,0.0,-5.073919296264648,2.0,0.0,0.0,4.0,0.0,0.0,0.0,-0.0001473099982831627,0.0,34.815887451171875,0.15000000596046448,0.02068992704153061
45,0.04455054551362991,0.5,0.0,0.0,-3.203113317489624,-2.66443494183477e-05,-0.04931268095970154,0.0,-0.3751186728477478,0.0,-0.00608425959944725,0.929027795791626,0.0,-0.8123506903648376,0.0,-5.073919296264648,2.0,0.0,0.0,4.0,0.0,0.0,0.0,-0.00016355072148144245,0.0,35.048702239990234,0.15000000596046448,0.020543711259961128
46,0.04943261295557022,0.5,0.0,0.0,-3.2069900035858154,-1.9679257093230262e-05,-0.12852804362773895,0.0,-0.3752628564834595,0.0,0.02536734752357006,0.929027795791626,0.0,-0.9555146098136902,0.0,-5.073919296264648,2.0,0.0,0.0,4.0,0.0,0.0,0.0,-1.4263979437600938e-06,0.0,35.18500518798828,0.15000000596046448,0.020427566021680832
47,0.04898764193058014,0.5,0.0,0.0,-3.2141432762145996,-4.474534580367617e-05,-0.1283888965845108,0.0,-0.37536752223968506,0.0,0.05712180212140083,0.929027795791626,0.0,-1.1275042295455933,0.0,-5.073919296264648,2.0,0.0,0.0,4.0,0.0,0.0,0.0,-0.0002423116093268618,0.0,35.2618408203125,0.15000000596046448,0.020481668412685394
48,0.04574780911207199,0.5,0.0,0.0,-3.220552682876587,-6.810890045017004e-05,-0.13428442180156708,0.0,-0.3754338026046753,0.0,0.058121588081121445,0.929027795791626,0.0,-1.333871841430664,0.0,-5.073919296264648,2.0,0.0,0.0,4.0,0.0,0.0,0.0,-0.0011610218789428473,0.0,35.29669952392578,0.15000000596046448,0.02078215405344963
49,0.052367813885211945,0.5,0.0,0.0,-3.202719211578369,-1.0933952580671757e-05,-0.15652284026145935,0.0,-0.3751412630081177,0.0,0.05964895710349083,0.929027795791626,0.0,-1.1345990896224976,0.0,-5.073919296264648,2.0,0.0,0.0,4.0,0.0,0.0,0.0,-0.00019142148084938526,0.0,35.29669952392578,0.15000000596046448,0.02096455730497837
50,0.027021249756217003,0.5,0.0,0.0,-3.21848464012146,-8.768865518504754e-05,-0.11955530941486359,0.0,-0.3730746805667877,0.0,0.037057213485240936,0.929027795791626,0.0,-1.3386178016662598,0.0,-5.073919296264648,2.0,0.0,0.0,4.0,0.0,0.0,0.0,-0.0028644667472690344,0.0,35.2618408203125,0.15000000596046448,0.02190461754798889
51,0.10566771030426025,0.5,0.0,0.0,-3.211280345916748,-0.00017499728710390627,-0.17909419536590576,0.0,-0.37525635957717896,0.0,0.06648547947406769,0.929027795791626,0.0,-1.1412853002548218,0.0,-5.073919296264648,2.0,0.0,0.0,4.0,0.0,0.0,0.0,-0.0001887158869067207,0.0,35.18500518798828,0.15000000596046448,0.022091299295425415
52,0.07988587021827698,0.5,0.0,0.0,-3.1128060817718506,-5.690728721674532e-05,-0.06698539853096008,0.0,-0.37306952476501465,0.0,0.10569728910923004,0.929027795791626,0.0,-0.9680978059768677,0.0,-5.073919296264648,2.0,0.0,0.0,4.0,0.0,0.0,0.0,-0.0004085024120286107,0.0,35.0487060546875,0.15000000596046448,0.022425133734941483
