step,track_lin_vel_xy_exp,track_ang_vel_z_exp,lin_vel_z_l2,ang_vel_xy_l2,dof_torques_l2,dof_acc_l2,action_rate_l2,flat_orientation_l2,dof_pos_limits,termination_penalty,curr_vel,cmd_vel_given,track_lin_vel_xy,joint_angles,joint_symmetry_reward,stride_consistency,torso_orientation,phase_contact,phase_contact_per_cycle,alternation_contact,progressive_step,foot_cycle_sym,symmetric_foot_airtime,feet_no_slip_condition,com_step_reward,paper_cycle_reward,alive,curr_x_L,curr_x_R,curr_z_L,curr_z_R,left_target,rcs_phase_with_place,right_target,policy[0],policy[1],policy[2],policy[3],policy[4],policy[5],policy[6],policy[7],policy[8],policy[9],policy[10],policy[11],policy[12],policy[13],policy[14],policy[15],policy[16],policy[17],policy[18],policy[19],policy[20],policy[21],policy[22],policy[23],policy[24],policy[25],policy[26],policy[27],policy[28],policy[29],policy[30],policy[31],policy[32],critic[0],critic[1],critic[2],critic[3],critic[4],critic[5],critic[6],critic[7],critic[8],critic[9],critic[10],critic[11],critic[12],critic[13],critic[14],critic[15],critic[16],critic[17],critic[18],critic[19],critic[20],critic[21],critic[22],critic[23],critic[24],critic[25],critic[26],critic[27],critic[28],critic[29],critic[30],critic[31],critic[32],critic[33],critic[34],critic[35]
0,0.4347618818283081,0.5,0.0,0.0,-3.3242650032043457,-0.19627557694911957,-15.042548179626465,0.0,-0.3748430609703064,0.0,-4.257564353155052e-12,-5.982511708246818e-11,0.0,-0.050558995455503464,0.0,0.0,0.4000000059604645,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.15000000596046448,-2.813710375804135e-11,-2.143315212810304e-11,3.6821896226557627e-11,3.6315755957971874e-11,2.8137100288594397e-11,0.0,2.1433150393379563e-11,0.0660780817270279,-0.38787633180618286,0.16394250094890594,0.02365175262093544,-0.017256315797567368,-1.0175189971923828,-1.1965023279190063,0.0,0.0,0.0029256995767354965,-0.0038410304114222527,0.002351752482354641,0.005802003666758537,0.007829545065760612,0.14317303895950317,0.0023135850206017494,0.04003379866480827,0.031019670888781548,-0.05183262377977371,0.11923661082983017,-0.042599283158779144,0.3069895803928375,0.019908791407942772,0.1412053108215332,-0.05247792601585388,26.510379791259766,-28.309574127197266,0.23344536125659943,0.972369909286499,0.28137099742889404,-0.36821895837783813,0.2143314927816391,0.0017668306827545166,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,0.09128023684024811,0.5,0.0,0.0,-3.2450735569000244,-0.00046736749936826527,-4.278980255126953,0.0,-0.375028520822525,0.0,-4.1631994618200607e-13,-5.982511708246818e-11,0.0,-0.0940764918923378,0.0,0.0,0.4000000059604645,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.15000000596046448,-3.168697249034125e-11,-1.998591916962944e-11,3.684109614598974e-11,3.567143108673676e-11,3.168697249034125e-11,0.0,1.9985917434905964e-11,0.06785760819911957,0.5839794278144836,-0.008729085326194763,0.013917047530412674,0.014094356447458267,-1.016210675239563,-1.1965023279190063,0.0,0.0,0.004326106980443001,0.001087293028831482,0.007141530513763428,0.007501265034079552,-0.012281043455004692,0.22085174918174744,-0.0014049159362912178,0.009461146779358387,0.05478016287088394,0.08605195581912994,-0.07804112881422043,-0.13330386579036713,0.40685516595840454,-0.030995512381196022,-0.0764617919921875,-0.039388999342918396,39.3311767578125,-44.541568756103516,0.3826834261417389,0.9238795638084412,0.31686970591545105,-0.36841097474098206,0.19985917210578918,0.008210092782974243,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,0.005812016781419516,0.5,0.0,0.0,-3.323768138885498,-0.0010294181993231177,-0.7368124723434448,0.0,-0.37503674626350403,0.0,1.884204771374076e-11,-5.982511708246818e-11,0.0,-0.16134440898895264,0.0,0.0,0.4000000059604645,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.15000000596046448,-3.306355536580874e-11,-1.949518324551036e-11,3.635799994405886e-11,3.465832482119069e-11,3.3063548426914835e-11,0.0,1.9495178041339933e-11,0.019171640276908875,1.8628628253936768,0.06664972007274628,0.056019049137830734,-0.0350254625082016,-0.9802815914154053,-1.1965023279190063,0.0,0.0,0.017081767320632935,0.01160956546664238,0.03049938939511776,-0.04713860899209976,-0.04865596443414688,0.3010388910770416,-0.006715498864650726,0.09141826629638672,0.07401909679174423,0.2015327662229538,-0.33829423785209656,-0.24123060703277588,0.44572049379348755,0.028997039422392845,-0.2980552315711975,-0.08382534980773926,38.2381477355957,-53.05247116088867,0.5224985480308533,0.8526401519775391,0.3306354880332947,-0.36357998847961426,0.19495180249214172,0.018341153860092163,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,0.008260057307779789,0.5,0.0,0.0,-3.3128771781921387,-0.0003091585822403431,-0.605100691318512,0.0,-0.3750127851963043,0.0,4.1611263046359426e-11,-5.982511708246818e-11,0.0,-0.2724737823009491,0.0,0.0,0.4000000059604645,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.15000000596046448,-3.3237142205155834e-11,-2.002674762136003e-11,3.5463052633355474e-11,3.3246860126068256e-11,3.323713526626193e-11,0.0,2.0026745886636554e-11,0.099797323346138,1.6170246601104736,-0.18548044562339783,0.08103497326374054,-0.035685811191797256,-1.024343490600586,-1.1965023279190063,0.0,0.0,0.041858308017253876,0.010913219302892685,0.07214628159999847,-0.13808397948741913,-0.0848110020160675,0.3784677982330322,0.006379883736371994,0.03926944360136986,0.05899779871106148,0.19649282097816467,-0.3651503324508667,-0.12972091138362885,0.44131842255592346,-0.010456636548042297,-0.4124029278755188,-0.13458627462387085,33.59825897216797,-59.294734954833984,0.649448037147522,0.760405957698822,0.3323713541030884,-0.3546305298805237,0.20026744902133942,0.032455772161483765,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,0.014427772723138332,0.5,0.0,0.0,-3.2422854900360107,-0.0002589281357359141,-0.3477870523929596,0.0,-0.3750112056732178,0.0,4.889093296878144e-11,-5.982511708246818e-11,0.0,-0.3950899839401245,0.0,0.0,0.4000000059604645,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.15000000596046448,-3.296379141870531e-11,-2.120636825864164e-11,3.426751590818178e-11,3.142494250929495e-11,3.296378447981141e-11,0.0,2.1206366523918163e-11,-0.03512895107269287,1.4576822519302368,-0.12246197462081909,0.13834409415721893,-0.03204028680920601,-1.040968656539917,-1.1965023279190063,0.0,0.0,0.05925591289997101,0.031025150790810585,0.08400201052427292,-0.2108125537633896,-0.12105908244848251,0.4685381054878235,0.0032150698825716972,0.13076023757457733,-0.005949950311332941,0.16598725318908691,-0.4420348107814789,-0.12450879067182541,0.44337818026542664,0.010563653893768787,-0.44842463731765747,-0.12818965315818787,32.32081604003906,-65.05194854736328,0.760405957698822,0.649448037147522,0.3296378552913666,-0.3426751494407654,0.21206365525722504,0.05067494511604309,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,0.03189399465918541,0.5,0.0,0.0,-3.212324857711792,-0.00100226909853518,-0.3423425853252411,0.0,-0.37490400671958923,0.0,4.2043805936753387e-11,-5.982511708246818e-11,0.0,-0.5283350944519043,0.0,0.0,0.4000000059604645,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.15000000596046448,-3.264323880647346e-11,-2.260390659369893e-11,3.280149069029292e-11,2.9205256268927116e-11,3.264323186757956e-11,0.0,2.2603904858975454e-11,0.006295040249824524,1.2433620691299438,-0.11985277384519577,0.08657442033290863,0.022864867001771927,-1.0149904489517212,-1.1965023279190063,0.0,0.0,0.07326194643974304,0.04507414996623993,0.1233532652258873,-0.28821250796318054,-0.12661288678646088,0.5488591194152832,0.001233813352882862,0.12331618368625641,0.006339275743812323,0.12138141691684723,-0.29486507177352905,-0.05587555095553398,0.3501721918582916,0.012926227413117886,-0.4101523756980896,-0.16523119807243347,27.846105575561523,-68.82135009765625,0.8526401519775391,0.522498607635498,0.32643231749534607,-0.32801491022109985,0.22603903710842133,0.07287183403968811,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,0.10884267091751099,0.5,0.0,0.0,-3.2232437133789062,-0.000798187917098403,-0.07461583614349365,0.0,-0.3748874068260193,0.0,3.051860153480135e-11,-5.982511708246818e-11,0.0,-0.6574544310569763,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.15000000596046448,-3.303251075448266e-11,-2.377280317045205e-11,3.113861252179717e-11,2.6581457521213103e-11,3.3032507285035706e-11,0.0,2.37727997010051e-11,-0.07191096246242523,0.27670592069625854,0.17724280059337616,0.15070229768753052,0.02110106125473976,-1.0366417169570923,-1.1965023279190063,0.0,0.0,0.09972061216831207,0.034389011561870575,0.1370743364095688,-0.33209228515625,-0.13502420485019684,0.6147010922431946,0.0071252454072237015,0.15087521076202393,0.045961927622556686,0.009098351001739502,-0.1608775109052658,-0.022772863507270813,0.3432833254337311,0.01606232486665249,-0.39000558853149414,-0.150895893573761,25.40132713317871,-70.03955841064453,0.9238795638084412,0.3826834261417389,0.33032506704330444,-0.3113861083984375,0.23772799968719482,0.09910982847213745,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,0.19292546808719635,0.5,0.0,0.0,-3.226020574569702,-0.0003985795483458787,-0.06109793484210968,0.0,-0.3748983144760132,0.0,1.7043496822188864e-11,-5.982511708246818e-11,0.0,-0.7850276231765747,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.15000000596046448,-3.4299230122769586e-11,-2.444349236907506e-11,2.93184469757346e-11,2.3553579225898957e-11,3.4299226653322634e-11,0.0,2.4443488899628107e-11,-0.035785093903541565,0.0021575242280960083,-0.058746933937072754,0.13051092624664307,-0.024704379960894585,-1.0005364418029785,-1.1965023279190063,0.0,0.0,0.1419116109609604,0.044148340821266174,0.12863540649414062,-0.368802934885025,-0.11948242038488388,0.6949013471603394,0.001381642185151577,0.1937655508518219,-0.02153845503926277,0.03053290955722332,-0.0995372086763382,0.05662895366549492,0.3469376266002655,0.020833110436797142,-0.37103545665740967,-0.15121710300445557,22.96906089782715,-70.47946166992188,0.972369909286499,0.2334454208612442,0.34299224615097046,-0.29318445920944214,0.2444349080324173,0.12938861548900604,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,0.23175112903118134,0.5,0.0,0.0,-3.216529369354248,-0.0001950195146491751,-0.1522158682346344,0.0,-0.37492847442626953,0.0,6.306140505618618e-12,-5.982511708246818e-11,0.0,-0.9223009347915649,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.15000000596046448,-3.6312845091979185e-11,-2.4493958944438177e-11,2.7381218820066167e-11,2.0122497418340046e-11,3.631283468363833e-11,0.0,2.44939572097147e-11,-0.1015009880065918,-0.03070293366909027,0.04875287413597107,0.0999198704957962,0.03977770730853081,-1.0088319778442383,-1.1965023279190063,0.0,0.0,0.1609707772731781,0.05086778104305267,0.14031167328357697,-0.37414875626564026,-0.12043847888708115,0.7833916544914246,-0.0012928415089845657,0.15583959221839905,0.03626370057463646,0.026221781969070435,-0.03776825964450836,-0.029544292017817497,0.40233227610588074,-0.023477206006646156,-0.3637627959251404,-0.155955970287323,19.092710494995117,-70.03739929199219,0.9969173073768616,0.07845908403396606,0.3631283938884735,-0.2738122045993805,0.24493956565856934,0.1636994332075119,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,0.2619089186191559,0.5,0.0,0.0,-3.2056264877319336,-8.075087680481374e-05,-0.5545946955680847,0.0,-0.3749641180038452,0.0,9.61740344480877e-13,-5.982511708246818e-11,0.0,-1.076891303062439,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.15000000596046448,-3.8802547980276714e-11,-2.4071388979307606e-11,2.5348107293710065e-11,1.6289525284207684e-11,3.8802547980276714e-11,0.0,2.4071388979307606e-11,-0.10768577456474304,-0.1515011489391327,0.009623885154724121,0.129128560423851,0.009796235710382462,-0.9729937314987183,-1.1965023279190063,0.0,0.0,0.2072686403989792,0.04131145775318146,0.12519600987434387,-0.3834574222564697,-0.12659308314323425,0.8511372208595276,0.004796379245817661,0.22672966122627258,-0.04948451370000839,-0.011401766911149025,0.01630416512489319,0.0218710545450449,0.4283113181591034,0.0240237545222044,-0.35870301723480225,-0.15364596247673035,11.651532173156738,-70.3345718383789,0.9969173073768616,-0.07845905423164368,0.3880254626274109,-0.25348109006881714,0.24071387946605682,0.20202915370464325,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
