step,track_lin_vel_xy_exp,track_ang_vel_z_exp,lin_vel_z_l2,ang_vel_xy_l2,dof_torques_l2,dof_acc_l2,action_rate_l2,flat_orientation_l2,dof_pos_limits,termination_penalty,curr_vel,cmd_vel_given,track_lin_vel_xy,joint_angles,joint_symmetry_reward,stride_consistency,torso_orientation,phase_contact,phase_contact_per_cycle,alternation_contact,progressive_step,foot_cycle_sym,symmetric_foot_airtime,feet_no_slip_condition,com_step_reward,paper_cycle_reward,alive,rcs_phase_with_place,policy[0],policy[1],policy[2],policy[3],policy[4],policy[5],policy[6],policy[7],policy[8],policy[9],policy[10],policy[11],policy[12],policy[13],policy[14],policy[15],policy[16],policy[17],policy[18],policy[19],policy[20],policy[21],policy[22],policy[23],policy[24],policy[25],policy[26],policy[27],policy[28],policy[29],policy[30],policy[31],policy[32],critic[0],critic[1],critic[2],critic[3],critic[4],critic[5],critic[6],critic[7],critic[8],critic[9],critic[10],critic[11],critic[12],critic[13],critic[14],critic[15],critic[16],critic[17],critic[18],critic[19],critic[20],critic[21],critic[22],critic[23],critic[24],critic[25],critic[26],critic[27],critic[28],critic[29],critic[30],critic[31],critic[32],critic[33],critic[34],critic[35]
10,0.7221678495407104,0.5,0.0,0.0,-3.2092511653900146,-0.0005732565768994391,-1.18817138671875,0.0,-0.3749179244041443,0.0,3.011119131812734e-11,-1.7995565974870953e-12,0.0,-1.659409761428833,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.15000000596046448,0.0,0.16802118718624115,0.9532507061958313,-0.14981286227703094,0.17532879114151,0.02458345517516136,-1.0182310342788696,-0.035991132259368896,0.0,0.0,0.24869348108768463,0.07278522104024887,0.22086088359355927,-0.733154296875,-0.05372019112110138,0.9564656615257263,0.004793573170900345,0.2759586572647095,0.03670138865709305,0.06557567417621613,-0.3148159086704254,0.054086267948150635,0.36240455508232117,-0.045725200325250626,-0.874276876449585,-0.052460938692092896,3.480536699295044,-62.85654067993164,0.9723699688911438,-0.23344527184963226,0.1016075611114502,-0.21229198575019836,0.25347208976745605,0.2341494858264923,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,0.5331228971481323,0.5,0.0,0.0,-3.2048165798187256,-0.0002872532932087779,-2.9093573093414307,0.0,-0.3749985098838806,0.0,3.1395969157799186e-11,-1.7995565974870953e-12,0.0,-1.6055090427398682,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.15000000596046448,0.0,0.1167045384645462,1.2664339542388916,-0.034018248319625854,0.21824951469898224,-0.049922969192266464,-0.9345724582672119,-0.035991132259368896,0.0,0.0,0.3137063980102539,0.08579700440168381,0.2550596296787262,-0.8024935722351074,-0.05732819437980652,0.8629868626594543,-0.00013541989028453827,0.29526254534721375,0.03961997106671333,0.0965222641825676,-0.37688133120536804,0.0347253791987896,-0.4438942074775696,-0.011965781450271606,-0.9879885315895081,-0.047720327973365784,-13.355592727661133,-60.12386703491211,0.9238795638084412,-0.3826833963394165,0.04154317453503609,-0.15710033476352692,0.2790839970111847,0.2758532464504242,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,0.7095828652381897,0.5,0.0,0.0,-3.2032907009124756,-0.0005738891777582467,-0.08378393948078156,0.0,-0.3749934136867523,0.0,3.1406179740178786e-11,-1.7995565974870953e-12,0.0,-1.5924887657165527,0.0,0.0,-4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.15000000596046448,0.0,0.15953220427036285,0.8240410685539246,0.014194697141647339,0.2825070321559906,0.0369609035551548,-0.9513288736343384,-0.035991132259368896,0.0,0.0,0.3639908730983734,0.07806745171546936,0.27651989459991455,-0.8797609806060791,-0.05219464749097824,0.7941953539848328,-0.003924719989299774,0.28696489334106445,-0.0033657641615718603,0.09233362972736359,-0.3051063120365143,0.02749774418771267,-0.4351150691509247,0.03440630063414574,-1.032583475112915,-0.008859425783157349,-15.587371826171875,-58.28157043457031,0.8526402115821838,-0.5224984884262085,-0.023911109194159508,-0.10499508678913116,0.30972954630851746,0.32018572092056274,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,0.05104098841547966,0.5,0.0,0.0,-3.288188934326172,-0.00283551262691617,-0.041382379829883575,0.0,-0.37244531512260437,0.0,4.76843078911493e-11,-1.7995565974870953e-12,0.0,-1.5564411878585815,0.0,-6.076554775238037,-4.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.06221867352724075,0.0,34.815887451171875,0.15000000596046448,14.52470874786377,-0.10900712758302689,0.27220481634140015,-0.07340192794799805,0.2558315396308899,-0.03784841299057007,-0.9731937646865845,-0.035991132259368896,0.0,0.0,0.37649425864219666,0.10177759826183319,0.27908608317375183,-0.9131258130073547,-0.06729145348072052,0.7167519330978394,0.008418986573815346,0.017651796340942383,0.07850217819213867,0.08233928680419922,-0.20598717033863068,0.023483842611312866,-0.32604533433914185,0.024801893159747124,-1.0377964973449707,0.018228530883789062,-17.61964988708496,-58.19599533081055,0.760405957698822,-0.649448037147522,-0.08775576949119568,-0.097524493932724,0.303827702999115,0.32722413539886475,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,0.09400822967290878,0.5,0.0,0.0,-3.2537546157836914,-0.07968718558549881,-0.06138530373573303,0.0,-0.3762940764427185,0.0,6.454826256829804e-11,-1.7995565974870953e-12,0.0,-1.5118075609207153,0.0,-6.076554775238037,-4.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.16137784719467163,0.0,34.40550994873047,0.15000000596046448,13.968159675598145,-0.07100547850131989,-0.29934167861938477,-0.03190182149410248,0.29476577043533325,-0.04914982244372368,-0.9106963276863098,-0.035991132259368896,0.0,0.0,0.37810295820236206,0.11350273340940475,0.28866562247276306,-0.9481267929077148,-0.039360083639621735,0.645193338394165,0.004698292352259159,0.05048951134085655,0.05543099716305733,-0.061583470553159714,-0.0969470888376236,0.14380323886871338,-0.3663109838962555,0.04329892620444298,-1.051163911819458,0.07684040069580078,-20.029293060302734,-57.6228141784668,0.649448037147522,-0.760405957698822,-0.15996184945106506,-0.09969457983970642,0.30568331480026245,0.32757484912872314,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15,0.11272413283586502,0.5,0.0,0.0,-3.2319557666778564,-0.00011654091213131323,-0.02405521646142006,0.0,-0.37585651874542236,0.0,7.698781889775574e-11,-1.7995565974870953e-12,0.0,-1.4879087209701538,0.0,-6.076554775238037,-4.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.11463920772075653,0.0,33.62111282348633,0.15000000596046448,13.788297653198242,0.11652208864688873,-0.3896101713180542,0.06824837625026703,0.30876001715660095,0.027265507727861404,-0.9155842661857605,-0.035991132259368896,0.0,0.0,0.38243868947029114,0.1260904222726822,0.2664046883583069,-0.9817823171615601,0.0019661691039800644,0.5506959557533264,-0.005560450721532106,0.006865841336548328,0.09258773177862167,-0.08218824118375778,-0.14215533435344696,0.12662070989608765,-0.34194809198379517,-0.006381669547408819,-1.0759018659591675,0.11481168866157532,-19.26496696472168,-56.274009704589844,0.5224986672401428,-0.8526400923728943,-0.2397550344467163,-0.10889488458633423,0.3047889471054077,0.327637255191803,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16,0.20282694697380066,0.5,0.0,0.0,-3.2427423000335693,-0.00016857504670042545,-0.04514726623892784,0.0,-0.3714543282985687,0.0,6.976028088523378e-11,-1.7995565974870953e-12,0.0,-1.4308228492736816,0.0,-6.076554775238037,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.1317944973707199,0.0,31.90545082092285,0.15000000596046448,13.206286430358887,-0.14073139429092407,-1.004393458366394,-0.15384458005428314,0.23257650434970856,-0.0009736828505992889,-0.9463182091712952,-0.035991132259368896,0.0,0.0,0.37713441252708435,0.15005278587341309,0.2501475512981415,-0.9778946042060852,0.042917363345623016,0.48269858956336975,0.009925788268446922,0.036157429218292236,0.06728806346654892,-0.0911252424120903,0.037102825939655304,0.2606531083583832,-0.375262975692749,-0.006484505720436573,-0.9507438540458679,0.09923534095287323,-17.755538940429688,-54.78389358520508,0.38268351554870605,-0.9238795042037964,-0.3166428804397583,-0.11983005702495575,0.3037618100643158,0.3278852105140686,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17,0.32600903511047363,0.5,0.0,0.0,-3.3843603134155273,-0.0006967065273784101,-0.09937236458063126,0.0,-0.3690911829471588,0.0,6.150419062933565e-11,-1.7995565974870953e-12,0.0,-1.3179630041122437,0.0,-6.076554775238037,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.14865872263908386,0.0,27.338796615600586,0.15000000596046448,11.422250747680664,0.08961610496044159,-1.5027536153793335,0.14626114070415497,0.19803763926029205,-0.02339787222445011,-1.0202189683914185,-0.035991132259368896,0.0,0.0,0.37923333048820496,0.1612069457769394,0.23268833756446838,-0.9596267342567444,0.09736878424882889,0.39412447810173035,-0.0080901850014925,0.0531390905380249,0.09919526427984238,-0.16966398060321808,0.22317169606685638,0.24301639199256897,-0.3702215850353241,0.03059522621333599,-0.8030727505683899,0.1215265542268753,-18.21339225769043,-51.66856002807617,0.23344537615776062,-0.972369909286499,-0.37614625692367554,-0.12387630343437195,0.30265262722969055,0.3281986117362976,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18,0.3823608458042145,0.5,0.0,0.0,-3.7996773719787598,-0.0025128452107310295,-0.39028578996658325,0.0,-0.37493258714675903,0.0,5.3028262336773935e-11,-1.7995565974870953e-12,0.0,-1.114588737487793,0.0,-6.076554775238037,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.27350351214408875,0.0,13.147187232971191,0.15000000596046448,5.68929386138916,0.18667583167552948,-1.523165225982666,0.16334758698940277,0.2250635176897049,-0.033771250396966934,-0.9849774241447449,-0.035991132259368896,0.0,0.0,0.3848665952682495,0.15913742780685425,0.19273214042186737,-0.8869475722312927,0.16215887665748596,0.3186885416507721,0.0016930783167481422,0.0022803903557360172,0.04310593754053116,-0.10236556828022003,0.3485565185546875,0.22897624969482422,-0.42695352435112,-0.02555490843951702,-0.5277497172355652,0.1354069709777832,-21.533958435058594,-46.38401412963867,0.07845927774906158,-0.9969173073768616,-0.40748587250709534,-0.11263526976108551,0.2991909086704254,0.3286969065666199,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19,0.05400759354233742,0.5,0.0,0.0,-5.03066873550415,-0.2785867750644684,-0.6734734177589417,0.0,-0.37545034289360046,0.0,5.931694024852163e-11,-1.7995565974870953e-12,0.0,-0.9213851094245911,0.0,-6.076554775238037,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.15000000596046448,0.0,0.15823210775852203,-0.14641274511814117,0.03953900933265686,0.12714524567127228,-0.01205671951174736,-1.0057694911956787,-0.035991132259368896,0.0,0.0,0.4002534747123718,0.17894679307937622,0.17054371535778046,-0.8104130029678345,0.20709215104579926,0.23566460609436035,-0.008083106949925423,0.06601875275373459,0.04044420272111893,0.009648817591369152,0.3743165135383606,0.11873121559619904,-0.3921898305416107,-0.5445661544799805,-0.08591999113559723,0.1104176938533783,-24.861465454101562,-38.895408630371094,-0.07845897972583771,-0.9969173073768616,-0.4156336486339569,-0.09283527731895447,0.8746542930603027,-0.03586964309215546,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
