step,track_lin_vel_xy_exp,track_ang_vel_z_exp,lin_vel_z_l2,ang_vel_xy_l2,dof_torques_l2,dof_acc_l2,action_rate_l2,flat_orientation_l2,dof_pos_limits,termination_penalty,curr_vel,cmd_vel_given,track_lin_vel_xy,joint_angles,joint_symmetry_reward,stride_consistency,torso_orientation,phase_contact,phase_contact_per_cycle,alternation_contact,progressive_step,foot_cycle_sym,symmetric_foot_airtime,feet_no_slip_condition,com_step_reward,paper_cycle_reward,alive,rcs_phase_with_place
25,2.4770835807430558e-05,0.5,0.0,0.0,-3.235913038253784,-0.00013149103324394673,-0.004105499014258385,0.0,-0.6322171688079834,0.0,1.3662720260709804e-11,-1.4584844443277234e-10,0.0,-0.03954625129699707,0.0,-0.3400929272174835,0.4000000059604645,0.0,0.0,4.0,-5.856625556945801,0.0,0.0,-0.11260019242763519,0.0,35.048702239990234,0.15000000596046448,8.017250061035156
26,6.438345735659823e-05,0.5,0.0,0.0,-3.2170534133911133,-0.0039363945834338665,-0.04960765317082405,0.0,-0.7505958080291748,0.0,1.3346449813378403e-11,-1.4584844443277234e-10,0.0,-0.042136140167713165,0.0,-0.3400929272174835,0.4000000059604645,0.0,0.0,4.0,-5.856625556945801,0.0,0.0,-0.0009133802377618849,0.0,35.18500518798828,0.15000000596046448,8.074522972106934
27,7.872440619394183e-05,0.5,0.0,0.0,-3.2047483921051025,-1.2895500731247012e-05,-0.05899551883339882,0.0,-0.7490725517272949,0.0,1.1242682132484028e-11,-1.4584844443277234e-10,0.0,-0.04060700163245201,0.0,-0.3400929272174835,0.4000000059604645,0.0,0.0,4.0,-5.856625556945801,0.0,0.0,-7.992001087586686e-07,0.0,35.2618408203125,0.15000000596046448,8.091376304626465
28,7.60183174861595e-05,0.5,0.0,0.0,-3.202378034591675,-4.041326519654831e-06,-0.04876746982336044,0.0,-0.7493463158607483,0.0,8.425538912393282e-12,-1.4584844443277234e-10,0.0,-0.03915548324584961,0.0,-0.3400929272174835,0.4000000059604645,0.0,0.0,4.0,-5.856625556945801,0.0,0.0,-8.934226798373857e-07,0.0,35.29669952392578,0.15000000596046448,8.099540710449219
29,5.299181066220626e-05,0.5,0.0,0.0,-3.205047845840454,-1.3856075383955613e-05,-0.006947825662791729,0.0,-0.7501456141471863,0.0,8.921713194609548e-12,-1.4584844443277234e-10,0.0,-0.03674354776740074,0.0,-0.3400929272174835,0.4000000059604645,0.0,0.0,4.0,-5.856625556945801,0.0,0.0,-1.1072149391111452e-05,0.0,35.29669952392578,0.15000000596046448,8.10004711151123
30,8.97654244909063e-05,0.5,0.0,0.0,-3.2020881175994873,-1.5963913028826937e-05,-0.012447524815797806,0.0,-0.7501042485237122,0.0,8.890558428342743e-12,-1.4584844443277234e-10,0.0,-0.03550119325518608,0.0,-0.3400929272174835,0.4000000059604645,0.0,0.0,4.0,-5.856625556945801,0.0,0.0,-6.986632070038468e-05,0.0,35.2618408203125,0.15000000596046448,8.091719627380371
31,0.00014521674893330783,0.5,0.0,0.0,-3.2021660804748535,-7.93209437688347e-06,-0.01278549712151289,0.0,-0.750097930431366,0.0,6.860734636654486e-12,-1.4584844443277234e-10,0.0,-0.03622739017009735,0.0,-0.3400929272174835,0.4000000059604645,0.0,0.0,4.0,-5.856625556945801,0.0,0.0,-0.0003894756955560297,0.0,35.18500518798828,0.15000000596046448,8.072863578796387
32,0.0005160958389751613,0.5,0.0,0.0,-3.20043683052063,-1.5588010455758194e-06,-0.09368988871574402,0.0,-0.749739408493042,0.0,6.638742832375255e-13,-1.4584844443277234e-10,0.0,-0.041065193712711334,0.0,-0.3400929272174835,0.4000000059604645,0.0,0.0,4.0,-5.856625556945801,0.0,0.0,-0.0018997677834704518,0.0,35.048702239990234,0.15000000596046448,8.038471221923828
33,0.002101403661072254,0.5,0.0,0.0,-3.2005951404571533,-2.1636353267240338e-05,-0.1575612872838974,0.0,-0.750002384185791,0.0,-8.988088918970849e-12,-1.4584844443277234e-10,0.0,-0.05550200492143631,0.0,-0.3400929272174835,0.4000000059604645,0.0,0.0,4.0,-5.856625556945801,0.0,0.0,-0.005526558496057987,0.0,34.815887451171875,0.15000000596046448,7.9801506996154785
34,0.006969596724957228,0.5,0.0,0.0,-3.2007508277893066,-0.00013286483590491116,-0.28029969334602356,0.0,-0.7499163746833801,0.0,-2.1493236010416972e-11,-1.4584844443277234e-10,0.0,-0.0902547761797905,0.0,-0.3400929272174835,0.0,0.0,0.0,4.0,-5.856625556945801,0.0,0.0,-0.010877585038542747,0.0,34.40550994873047,0.15000000596046448,7.87901496887207
