step,track_lin_vel_xy_exp,track_ang_vel_z_exp,lin_vel_z_l2,ang_vel_xy_l2,dof_torques_l2,dof_acc_l2,action_rate_l2,flat_orientation_l2,dof_pos_limits,termination_penalty,curr_vel,cmd_vel_given,track_lin_vel_xy,joint_angles,joint_symmetry_reward,stride_consistency,torso_orientation,phase_contact,phase_contact_per_cycle,alternation_contact,progressive_step,foot_cycle_sym,symmetric_foot_airtime,feet_no_slip_condition,com_step_reward,paper_cycle_reward,alive,curr_x_L,curr_x_R,curr_z_L,curr_z_R,left_target,rcs_phase_with_place,right_target,policy[0],policy[1],policy[2],policy[3],policy[4],policy[5],policy[6],policy[7],policy[8],policy[9],policy[10],policy[11],policy[12],policy[13],policy[14],policy[15],policy[16],policy[17],policy[18],policy[19],policy[20],policy[21],policy[22],policy[23],policy[24],policy[25],policy[26],policy[27],policy[28],critic[0],critic[1],critic[2],critic[3],critic[4],critic[5],critic[6],critic[7],critic[8],critic[9],critic[10],critic[11],critic[12],critic[13],critic[14],critic[15],critic[16],critic[17],critic[18],critic[19],critic[20],critic[21],critic[22],critic[23],critic[24],critic[25],critic[26],critic[27],critic[28],critic[29],critic[30],critic[31]
10,0.09552393108606339,0.5,0.0,0.0,-3.2449703216552734,-0.0006677118944935501,-0.1202443391084671,0.0,-0.3750319480895996,0.0,-2.860607237198387e-11,-1.0671778044590852e-10,0.0,-0.7156339883804321,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.15000000596046448,-2.5653543959253122e-12,1.488108421210388e-11,1.5953427814907606e-11,1.3036282990597226e-11,-3.796787884091657e-11,0.0,-5.825040103046852e-12,0.17563126981258392,-0.898243248462677,0.008972406387329102,0.24276237189769745,-0.013808034360408783,-1.0199142694473267,-2.1343555450439453,0.0,0.0,0.2598046660423279,0.05894782394170761,0.21203476190567017,-0.3939662277698517,-0.3201807737350464,0.529582679271698,-0.0033751893788576126,0.17516997456550598,-0.06265106052160263,-0.0958249494433403,0.19976866245269775,0.14885492622852325,0.4451216757297516,0.0026795626617968082,-0.35393285751342773,-0.243356391787529,8.059098243713379,-16.806442260742188,0.9723699688911438,-0.23344527184963226,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,0.032752349972724915,0.5,0.0,0.0,-3.2879207134246826,-0.0010040118359029293,-0.10361311584711075,0.0,-0.3750389516353607,0.0,-2.543426406986793e-11,-1.0671778044590852e-10,0.0,-0.7849085927009583,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.15000000596046448,-5.324784016491613e-12,1.4719923197015206e-11,1.2648842910578662e-11,8.340124597883136e-12,-3.520845073823331e-11,0.0,-5.66387865427731e-12,0.12949515879154205,-0.6994423866271973,0.12754438817501068,0.22904528677463531,-0.01674225926399231,-0.9948009252548218,-2.1343555450439453,0.0,0.0,0.2875204384326935,0.05463843047618866,0.2069534957408905,-0.37636440992355347,-0.2987508177757263,0.6153839230537415,-7.092207670211792e-05,0.2230430692434311,-0.027536703273653984,-0.04352205991744995,-0.01889757625758648,0.13122788071632385,0.42526230216026306,0.0070077660493552685,-0.4397872984409332,-0.20413139462471008,4.84298849105835,-16.711360931396484,0.9238795638084412,-0.3826833963394165,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,0.0001039488342939876,0.5,0.0,0.0,-3.3041040897369385,-0.4306941628456116,-0.3368351459503174,0.0,-0.37871015071868896,0.0,-1.3242554839157372e-12,-1.0671778044590852e-10,0.0,-0.7033644914627075,0.0,-2.7489402294158936,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.10304780304431915,0.0,35.048702239990234,0.15000000596046448,-1.5941239214084524e-12,1.3744703292184468e-11,6.822712967508027e-12,3.823438093908393e-12,-3.893910888175256e-11,91.20722961425781,-4.6886587494465726e-12,-0.14749926328659058,1.6619693040847778,0.09920169413089752,0.2344190925359726,0.023014310747385025,-0.991682231426239,-2.1343555450439453,0.0,0.0,0.33779698610305786,0.06469939649105072,0.21868781745433807,-0.3877623975276947,-0.305887907743454,0.5370293855667114,-0.008805138990283012,0.02008841000497341,0.07516815513372421,0.2014969438314438,-0.2616928517818451,-0.4010479152202606,-0.3769400119781494,0.34922969341278076,-0.5285260677337646,-0.20273993909358978,-0.9511185884475708,-16.388925552368164,0.8526402115821838,-0.5224984884262085,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,0.14367498457431793,0.5,0.0,0.0,-3.460397481918335,-0.003941900096833706,-0.2854005992412567,0.0,-0.37709447741508484,0.0,2.480144561944897e-12,-1.0671778044590852e-10,0.0,-0.8321796655654907,0.0,-2.7489402294158936,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.00954857561737299,0.0,34.815887451171875,0.15000000596046448,-1.8696281502139644e-12,1.3695803172120158e-11,7.802215470920082e-12,3.840653489683987e-12,-3.866360703819183e-11,90.88726043701172,-4.639758629382262e-12,0.07782147824764252,-1.1432050466537476,-0.016724616289138794,0.23755528032779694,0.030620645731687546,-0.9455586075782776,-2.1343555450439453,0.0,0.0,0.34705600142478943,0.06456895917654037,0.20698732137680054,-0.4250764548778534,-0.30539757013320923,0.6135639548301697,0.0068715717643499374,-0.0020605921745300293,-0.08162816613912582,-0.1259392350912094,-0.10294460505247116,0.13870985805988312,0.39454394578933716,0.004724442958831787,-0.5286418795585632,-0.11467251926660538,4.331018924713135,-15.594362258911133,0.760405957698822,-0.649448037147522,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,0.44215646386146545,0.5,0.0,0.0,-3.2080211639404297,-7.328548235818744e-05,-0.1262662410736084,0.0,-0.37425971031188965,0.0,-1.988188433332816e-11,-1.0671778044590852e-10,0.0,-0.9148405194282532,0.0,-2.7489402294158936,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.00849469006061554,0.0,34.40550994873047,0.15000000596046448,-2.1497231078582146e-12,1.3724139880100239e-11,9.005556717012198e-12,3.839395815163904e-12,-3.838351164686671e-11,89.75392150878906,-4.6680949036814745e-12,-0.05483102798461914,-1.6796653270721436,0.17484243214130402,0.19831232726573944,-0.04802096262574196,-0.9948556423187256,-2.1343555450439453,0.0,0.0,0.3469671607017517,0.04810944199562073,0.17382335662841797,-0.4204387366771698,-0.27209892868995667,0.6912758946418762,-0.009504485875368118,-0.018704671412706375,-0.03843922168016434,-0.14170832931995392,0.022710317745804787,0.18019933998584747,0.4275997579097748,-0.019765673205256462,-0.3786329925060272,-0.17872481048107147,1.9836078882217407,-18.257007598876953,0.649448037147522,-0.760405957698822,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15,0.3940216600894928,0.5,0.0,0.0,-3.201965570449829,-0.000443936645751819,-0.5015062689781189,0.0,-0.3743700683116913,0.0,-5.328058827469562e-11,-1.0671778044590852e-10,0.0,-0.7529574632644653,0.0,-2.7489402294158936,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0038872044533491135,0.0,33.62111282348633,0.15000000596046448,1.7520174764099061e-12,1.3744392776682268e-11,7.672295958272013e-12,3.841261510262317e-12,-4.228525168903374e-11,87.6956787109375,-4.688348667625242e-12,-0.03330931067466736,-1.5282866954803467,-0.1447037160396576,0.12582889199256897,-0.0014820359647274017,-1.0187792778015137,-2.1343555450439453,0.0,0.0,0.32961347699165344,0.04115011543035507,0.13941077888011932,-0.3916710317134857,-0.22943590581417084,0.6197233200073242,-0.007595626171678305,-0.004219913389533758,-0.061127591878175735,-0.20434188842773438,0.180806502699852,0.1391485184431076,-0.35279759764671326,-0.022006332874298096,-0.3348798453807831,-0.1533602774143219,-5.063577651977539,-18.953609466552734,0.5224986672401428,-0.8526400923728943,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16,0.6838634610176086,0.5,0.0,0.0,-3.2898592948913574,-0.0005009116139262915,-0.01969710737466812,0.0,-0.3717297315597534,0.0,-6.461924051404111e-11,-1.0671778044590852e-10,0.0,-0.5884191393852234,0.0,-2.7489402294158936,0.4000000059604645,0.0,0.0,0.0,0.0,0.0,0.0,-0.007267623674124479,0.0,31.90545082092285,0.15000000596046448,4.584661209700025e-12,1.3771054609146294e-11,6.653064384132268e-12,3.8416817470243725e-12,-4.511789553074408e-11,83.18342590332031,-4.715009632727529e-12,0.04591573774814606,-2.118837833404541,0.17667452991008759,0.13531847298145294,0.025267716497182846,-1.0337023735046387,-2.1343555450439453,0.0,0.0,0.34121766686439514,0.029436932876706123,0.10390473902225494,-0.3472845256328583,-0.17229001224040985,0.5339292883872986,0.0013533979654312134,-0.026814967393875122,-0.0895242914557457,-0.16885586082935333,0.35136720538139343,0.26243335008621216,-0.4346461296081543,0.054836999624967575,-0.14714768528938293,-0.14010587334632874,-4.023011684417725,-18.030834197998047,0.38268351554870605,-0.9238795042037964,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17,0.7217003703117371,0.5,0.0,0.0,-3.205146551132202,-0.0009600650519132614,-0.0690314918756485,0.0,-0.37396734952926636,0.0,-7.134666468733286e-11,-1.0671778044590852e-10,0.0,-0.4329863488674164,0.0,-2.7489402294158936,0.4000000059604645,0.0,0.0,0.0,0.0,0.0,0.0,-0.006280583329498768,0.0,27.338796615600586,0.15000000596046448,6.43384694479221e-12,1.3795260940530074e-11,5.839660786183254e-12,3.84336876560476e-12,-4.696707953111279e-11,71.26031494140625,-4.739216831473048e-12,-0.0049888938665390015,-1.999308466911316,0.1726340800523758,0.07633234560489655,-0.005381975322961807,-0.9694468975067139,-2.1343555450439453,0.0,0.0,0.33727550506591797,0.0009362809360027313,0.0490361824631691,-0.28088268637657166,-0.11852264404296875,0.45303773880004883,-0.005606620106846094,-0.002541804453358054,-0.03008597530424595,-0.18526294827461243,0.2884416878223419,0.2317458838224411,-0.3646452724933624,0.030807364732027054,-0.11880898475646973,-0.03514855355024338,-6.111795425415039,-16.440767288208008,0.23344537615776062,-0.972369909286499,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18,0.5119840502738953,0.5,0.0,0.0,-3.2097465991973877,-0.0012878220295533538,-0.4586128890514374,0.0,-0.37388044595718384,0.0,-7.377627675442255e-11,-1.0671778044590852e-10,0.0,-0.3054486811161041,0.0,-2.7489402294158936,0.4000000059604645,0.0,0.0,0.0,0.0,0.0,0.0,-0.002040972700342536,0.0,13.147187232971191,0.15000000596046448,8.08196651963522e-12,1.3813692377462328e-11,5.162763879601462e-12,3.845750974618145e-12,-4.861519867227493e-11,34.26759338378906,-4.757647834724432e-12,-0.08543560653924942,-1.4237449169158936,-0.02289372682571411,0.03561006113886833,0.024995822459459305,-1.041832685470581,-2.1343555450439453,0.0,0.0,0.3383285701274872,-0.013124557211995125,0.018938206136226654,-0.21389220654964447,-0.08785638213157654,0.3781934082508087,0.009311549365520477,0.026030970737338066,-0.01791948638856411,-0.128270223736763,0.29898300766944885,0.19783203303813934,-0.44068583846092224,0.037883490324020386,-0.07916166633367538,-0.026492660865187645,-12.715086936950684,-14.93870735168457,0.07845927774906158,-0.9969173073768616,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19,0.279556542634964,0.5,0.0,0.0,-3.2043039798736572,-0.0010760662844404578,-0.21504540741443634,0.0,-0.37501102685928345,0.0,-6.485288001067957e-11,-1.0671778044590852e-10,0.0,-0.23630094528198242,0.0,-1.6905559301376343,0.4000000059604645,0.0,0.0,4.0,0.0,0.0,0.0,-0.03268670290708542,0.0,13.14716625213623,0.15000000596046448,8.452781009860022e-12,1.3864757432424657e-11,4.999755384010873e-12,3.982095469340363e-12,-4.898600969305278e-11,2.3174514770507812,-5.443209771804902e-11,0.015347793698310852,-1.1560993194580078,0.018947437405586243,0.027602490037679672,-0.04770082235336304,-0.9676220417022705,-2.1343555450439453,0.0,0.0,0.3265763819217682,-0.019865181297063828,-0.011539394035935402,-0.15679940581321716,-0.04874981939792633,0.34128108620643616,0.009415429085493088,0.03792879730463028,-0.07714500278234482,-0.07690782099962234,0.15465953946113586,0.1153428927063942,-0.1829098016023636,-0.028861016035079956,-0.08539171516895294,-0.013876782730221748,-16.961732864379883,-13.075821876525879,-0.07845897972583771,-0.9969173073768616,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
